materia,profesor,division,turno,dia1,horaInicio1,duracion1,dia2,horaInicio2,duracion2,activo,ac,sede
95-0452,ibonelli,R1021,MANANA,SABADO,1,5,,,,true,A,Medrano
95-0496,cerallo,R5052,NOCHE,MARTES,1,5,,,,true,A,Medrano
95-0482,egranzella,R6051,NOCHE,LUNES,1,4,,,,true,C,Medrano
95-0427,ecomas,R3572,NOCHE,MARTES,1,5,JUEVES,1,5,false,C,Campus
95_0454,dcraiem,R2011,MANANA,MIERCOLES,1,6,,,,true,A,Medrano
95-0429,jcruz,R4001,MANANA,MARTES,1,5,,,,true,A,Medrano
95-extr,ljcymber,R6575,TARDE,MARTES,1,4,,,,false,A,Medrano
95_0454,ljcymber,R2041,TARDE,MIERCOLES,1,6,,,,true,C,Medrano
95_0454,ljcymber,R2072,NOCHE,MARTES,0,6,,,,true,A,Medrano
95-0452,jatencio,R1053,NOCHE,JUEVES,1,5,,,,true,A,Campus
95-0455,jatencio,R3001,MANANA,JUEVES,1,4,,,,true,A,Medrano
95-0439,lili,R5051,NOCHE,VIERNES,1,5,,,,true,A,Medrano
95-0458,ahenze,R5052,NOCHE,MIERCOLES,1,5,,,,true,A,Medrano
95-0458,ahenze,R5054,NOCHE,JUEVES,1,5,,,,true,A,Medrano
95-0473,jsbruno,R6055,TARDE,MARTES,1,5,,,,false,C,Medrano
95-0427,grandazzo,R3541,TARDE,LUNES,1,5,JUEVES,1,5,false,C,Medrano
95-0433,frodriguezduc,R4053,NOCHE,MIERCOLES,2,4,,,,true,A,Medrano
96-0403,horaciodelgiorgio,R6575,NOCHE,LUNES,1,5,,,,false,C,Medrano
95-0426,rzuazquita,R3031,TARDE,LUNES,1,5,VIERNES,1,5,true,C,Medrano
95-0457,pablodecesare,R4001,MANANA,VIERNES,1,5,,,,true,A,Medrano
95-0439,alozano,R5052,NOCHE,MIERCOLES,1,5,,,,true,A,Medrano
95-0429,jalarcon,R4051,NOCHE,MIERCOLES,1,5,,,,true,A,Medrano
95-0455,jalarcon,R3051,TARDE,SABADO,1,4,,,,true,A,Medrano
